gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,Churn_Probability
0,0,1,0,1,0,1,0,0,2,0,0,0,0,0,1,2,29.85,29.85,0,0.541951
1,0,0,0,34,1,0,0,2,0,2,0,0,0,1,0,3,56.95,1889.5,0,0.008399189
1,0,0,0,2,1,0,0,2,2,0,0,0,0,0,1,3,53.85,108.15,1,0.46274403
1,0,0,0,45,0,1,0,2,0,2,2,0,0,1,0,0,42.3,1840.75,0,0.014505303
0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,1,2,70.7,151.65,1,0.6325564
0,0,0,0,8,1,2,1,0,0,2,0,2,2,0,1,2,99.65,820.5,1,0.9402376
1,0,0,1,22,1,2,1,0,2,0,0,2,0,0,1,1,89.1,1949.4,0,0.2812819
0,0,0,0,10,0,1,0,2,0,0,0,0,0,0,0,3,29.75,301.9,0,0.10151633
0,0,1,0,28,1,2,1,0,0,2,2,2,2,0,1,2,104.8,3046.05,1,0.8957862
1,0,0,1,62,1,0,0,2,2,0,0,0,0,1,0,0,56.15,3487.95,0,0.0071666865
1,0,1,1,13,1,0,0,2,0,0,0,0,0,0,1,3,49.95,587.45,0,0.04961212
1,0,0,0,16,1,0,2,1,1,1,1,1,1,2,0,1,18.95,326.8,0,0.0014824958
1,0,1,0,58,1,2,1,0,0,2,0,2,2,1,0,1,100.35,5681.1,0,0.29841906
1,0,0,0,49,1,2,1,0,2,2,0,2,2,0,1,0,103.7,5036.3,1,0.6732546
1,0,0,0,25,1,0,1,2,0,2,2,2,2,0,1,2,105.5,2686.05,0,0.47287053
0,0,1,1,69,1,2,1,2,2,2,2,2,2,2,0,1,113.25,7895.15,0,0.17404012
0,0,0,0,52,1,0,2,1,1,1,1,1,1,1,0,3,20.65,1022.95,0,0.0024600201
1,0,0,1,71,1,2,1,2,0,2,0,2,2,2,0,0,106.7,7382.25,0,0.064242415
0,0,1,1,10,1,0,0,0,0,2,2,0,0,0,0,1,55.2,528.35,1,0.5729961
0,0,0,0,21,1,0,1,0,2,2,0,0,2,0,1,2,90.05,1862.9,0,0.533634
1,1,0,0,1,0,1,0,0,0,2,0,0,2,0,1,2,39.65,39.65,1,0.9800079
1,0,1,0,12,1,0,2,1,1,1,1,1,1,1,0,0,19.8,202.25,0,0.04513741
1,0,0,0,1,1,0,2,1,1,1,1,1,1,0,0,3,20.15,20.15,1,0.5802166
